file_path,layer,primary_responsibility,secondary_responsibilities,inputs_owned,outputs_owned,rules_owned,rules_referenced_elsewhere,scripts_called_or_referenced,contracts_called_or_referenced,route_status,line_count,owner_confidence
SKILL.md,skill,"Trigger, route table, permission boundary, parent-first entry point",,,,forbidden_writes boundary; human approval rules; export-only-via-pptflow; retrospective-no-auto-writeback,,scripts/orchestrate/ppt_parent.py; scripts/pptflow.py; scripts/review_server.py,,active,162,high
README.md,doc,Architecture documentation and quick start,,,,,,,,active,115,high
references/workflow/00_parent_orchestrator.md,workflow,"Parent agent: state management, task distribution, gate coordination, review/export orchestration",,ppt_parent.py status/next --json,task dispatch to child agents,batch discipline; gate enforcement; human checkpoint rules; file permission boundaries,,scripts/orchestrate/ppt_parent.py; scripts/pipeline_gate.py; scripts/review_server.py; scripts/pptflow.py,agent_task_contract.md; agent_result_contract.md,active,288,high
references/workflow/01_template_intake.md,workflow,Template intake: PPTX analysis → template_profile.json,,PPTX file,template_profile.json; template_assets/,template extraction scope; confidence marking; reference_only usage policy,,scripts/template/analyze_pptx_template.py; scripts/validate_contracts.py template,template_profile_contract.md,active,189,high
references/workflow/02_content_worker.md,workflow,Content worker: source markdown → page_content.json,,source Markdown,page_content.json; agent_result.json,copy policy (allowed/forbidden); page_key format; body_blocks structure,,scripts/orchestrate/make_agent_task.py,page_content_contract.md; agent_result_contract.md,active,145,high
references/workflow/03_layout_worker.md,workflow,Layout worker: page_content.json + layout_taxonomy.md → layout_plan.json,,page_content.json; layout_taxonomy.md,layout_plan.json; layout_capacity_report.json,page_mode selection; visual_density assignment; wireframe design; copy_handling rules; anti_laziness_check,,scripts/estimate_layout_capacity.py; scripts/generate_layout_html.py; scripts/review_server.py,layout_plan_contract.md; layout_taxonomy.md,active,276,high
references/workflow/04_svg_worker.md,workflow,SVG worker: per-page content/layout + style/svg rules → page_XX.svg,,trimmed per-page content/layout JSON; style_system.md; svg_rules.md,page_XX.svg; agent_result.json,SVG canvas 1920x1080; no foreignObject; text fill/font-family required; metadata comment; repair loop max 2,,scripts/orchestrate/make_agent_task.py,worker_svg_contract.md; style_system.md; svg_rules.md,active,148,high
references/workflow/05_integrated_review_worker.md,workflow,Integrated review: validator + PNG → integrated_review.json,,validation_summary.json; PNG previews,integrated_review.json,decision: pass/revise/blocked; must_fix vs optional_fix; vision_available handling,,scripts/validate_svg_layout.py; scripts/render_svg_png.py,integrated_review_contract.md; revision_notes_contract.md,active,112,high
references/workflow/06_repair_loop.md,workflow,Repair loop: fix SVG issues within max 2 rounds,,validation_summary.json; integrated_review.json,revision_notes.json; fixed SVGs,max 2 auto-repair rounds; escalation conditions; copy_deletion/layout_change/page_split → escalate,,,repair_loop_contract.md,active,124,high
references/workflow/07_visual_review.md,workflow,Visual review: human checkpoint via review_server.py,,02_visual_review.html; PNG previews,feedback.json; batches/<batch_id>.json,hard human checkpoint; approval key required; provenance verification; batch discipline,,scripts/generate_review_html.py; scripts/review_server.py; scripts/pipeline_gate.py,,active,134,high
